finding_id,area,severity,evidence_path,current_state,gap_against_backlog,recommended_fix,owner_layer
DL-001,Architecture reality,high,README.md; docs/FORENSIC_ARCHITECTURE_REPORT.md; apps/scraper-service/index.js,"Docs describe a multi-service production-ready platform, but the codebase is one Next.js API gateway plus a placeholder scraper service.","The backlog includes heavy browser, async, authenticated, and rate-sensitive APIs that the current runtime split does not yet truly support.","Treat the current repo as a foundation. Build a real execution split: lightweight HTTP routes in api-gateway, heavy browser jobs in scraper-service, and async job orchestration for long-running work.",platform
DL-002,Validation,high,apps/api-gateway/app/api/v1/seo-tools/keyword-density-checker/route.ts; packages/scraping-core/src/validation.ts,"Many routes already use shared validation helpers, but strict request contracts are still uneven across the surviving API set.","The allowlisted API surface is now narrower, making it practical to standardize contracts without breaking deleted legacy routes.",Add explicit allowlists for request fields, shared schema helpers, and machine-readable validation error codes across all live tools.,api-gateway
DL-003,Timeout budget,high,packages/scraping-core/src/httpClient.ts,Shared HTTP client timeout is 15000 ms while the backlog guidelines repeatedly say 10 second timeout limit.,Current core behavior violates the requested product contract and will create inconsistent SLA expectations.,"Move timeout into per-tool policy. Default lightweight tools to 10s, allow heavy async jobs to exceed 10s only behind job orchestration.",scraping-core
DL-004,Response envelope,high,packages/scraping-core/src/apiWrapper.ts,"Standard envelope is useful but minimal: success, data, metadata.timestamp, execution_time_ms, error.","Future enhancement needs request_id, pagination, warnings, upstream provenance, partial result state, and async job metadata.","Version the response contract. Add request_id, tool_version, source, warnings, pagination, and optional job object without breaking existing consumers.",scraping-core
DL-005,Authentication and abuse controls,critical,docs/TECHNICAL_DESIGN.md; apps/api-gateway/app/api/v1/**/route.ts,"Docs mention API keys, but the gateway code shows no auth, tenant identity, rate limiting, or abuse segmentation.","Public scraper APIs, especially SEO and market intel endpoints, will be abused immediately without guardrails.","Add API key middleware, IP and key based rate limiting, per-tool concurrency limits, and anonymous/public vs authenticated/private policy flags.",platform
DL-006,Async execution,critical,apps/api-gateway/app/api/v1/seo-tools/quick-lh/route.ts; apps/api-gateway/app/api/v1/seo-tools/organic-visit-simulator-x/route.ts,"Several heavy endpoints still return queued or delegated placeholder messages without a true queue, worker, status endpoint, or artifact store.","Anything crawl-heavy, browser-heavy, or multi-URL will need true async execution to satisfy 10s ingress limits.","Introduce Job entity, queue, worker callbacks, /jobs/{id} status endpoint, and durable result storage.",scraper-service
DL-007,Provider abstraction,medium,packages/scraping-core/src/httpClient.ts; apps/api-gateway/app/api/v1/**/route.ts,"Routes are direct one-off implementations with very little provider abstraction, shared fetch normalization, or reusable parser modules.",The backlog is too large to scale with copy-paste route logic.,"Create provider adapters for fetch, html extraction, crawl, search suggestion sources, lighthouse sources, domain intelligence, and file rendering.",scraping-core
DL-008,Caching and storage,medium,repository-wide,"No durable cache, no crawl snapshot store, no artifact bucket integration, and no historical result retention strategy is visible.","SEO audit, rank tracking, and file generation tools need cache and artifact retention to be commercially useful.","Add cache layer for GET-equivalent public data, object storage for generated files, and historical result persistence for tracking products.",platform
DL-009,Testing and contract verification,medium,docs/FORENSIC_ARCHITECTURE_REPORT.md; repository file inventory,Docs reference QA automation but the repo does not expose a visible contract-test suite for all listed endpoints.,"Without request/response contract tests, ToolNexus and public clients will break as tools evolve.","Add route contract tests, snapshot examples, and schema conformance tests for every public endpoint.",qa
DL-010,Taxonomy and naming,medium,apps/api-gateway/app/api/v1/*; user backlog list,"Current route taxonomy is mixed and the backlog includes many duplicates, overly long names, and vendor-derived raw titles.","A direct one-ticket-one-route import would create duplicate, low-SEO, hard-to-govern endpoints.","Canonicalize into family slugs, merge duplicates, shorten names, and separate public categories: seo-tools, developer-tools, market-intelligence, public-connectors, content-tools.",product
DL-011,ToolNexus compatibility,high,/mnt/c/docker/ToolNexus/tools.manifest.json; /mnt/c/docker/ToolNexus/src/ToolNexus.Web/App_Data/tool-manifests/*.json,"DataLens endpoints do not currently export ToolNexus-ready manifest metadata, supported actions, or execution policies.","ToolNexus requires manifest, runtime assets, executor wiring, and policy validation for each tool.","Generate a ToolNexus import package per canonical API family: manifest row, ToolShell asset stub, executor registration, policy defaults, and public docs page.",integration
DL-012,Legal and safety governance,critical,user backlog list,"The backlog contains high-abuse traffic generators, view generators, load simulators, and traffic manipulation tools mixed with legitimate SEO utilities.","Implementing these inside the same public platform creates operational, abuse, and trust risk.",Create an explicit reject list and a restricted review path. Keep manipulative traffic and fake-view tools out of ToolNexus public catalog.,governance
